Operateur;2G;3G;4G;city
SFR;1;1;0;kergrist-moëlou
Free;0;1;0;kergrist-moëlou
Orange;1;1;0;kergrist-moëlou
Orange;1;1;0;maël-pestivien
Bouygue;1;1;0;maël-pestivien
SFR;1;1;0;maël-pestivien
Free;0;1;0;maël-pestivien
Orange;1;1;0;kermaria-sulard
Free;0;1;1;merlevenez
Orange;1;1;0;louargat
Bouygue;1;1;1;pluzunet
SFR;1;0;1;pluzunet
SFR;1;1;0;trévou-tréguignec
Free;0;1;1;trévou-tréguignec
Orange;1;1;0;inguiniel
Orange;1;1;0;trévou-tréguignec
Bouygue;1;1;1;trévou-tréguignec
Orange;1;1;0;merlevenez
SFR;1;1;1;palais
Bouygue;1;1;1;palais
Bouygue;1;1;1;ploërdut
SFR;1;1;1;ploërdut
Orange;1;1;0;languidic
Orange;1;1;1;palais
Bouygue;1;1;1;pont-melvez
SFR;1;1;1;pont-melvez
Free;0;1;0;pont-melvez
SFR;1;1;1;coatréven
Bouygue;1;1;1;coatréven
Orange;0;1;1;étel
SFR;1;1;1;étel
Bouygue;1;1;1;étel
SFR;1;1;0;brandérion
Orange;1;1;0;plouguernével
Bouygue;1;0;0;bégard
Orange;1;1;1;belz
Orange;1;1;1;bégard
Free;0;1;1;plouguernével
Bouygue;1;1;1;sainte-hélène
SFR;1;1;1;sainte-hélène
Bouygue;1;1;0;peumerit-quintin
Free;0;1;0;peumerit-quintin
SFR;1;1;0;peumerit-quintin
Orange;1;1;0;peumerit-quintin
Orange;1;1;0;penvénan
SFR;1;1;1;languidic
Bouygue;1;1;1;languidic
Bouygue;1;1;0;penvénan
Free;0;1;0;penvénan
SFR;1;1;1;penvénan
Bouygue;1;1;1;nostang
SFR;1;1;1;nostang
SFR;1;1;1;erdeven
Bouygue;1;1;1;erdeven
Bouygue;1;1;1;tréglamus
SFR;1;1;0;tréglamus
Orange;1;1;1;erdeven
Free;0;1;1;erdeven
Orange;1;1;1;saint-pierre-quiberon
SFR;1;0;0;saint-pierre-quiberon
SFR;1;1;0;bégard
Orange;1;1;0;guémené-sur-scorff
Bouygue;1;1;1;saint-pierre-quiberon
SFR;1;1;0;bubry
Orange;1;1;0;bubry
Orange;1;1;0;langoat
Bouygue;1;1;1;plouguernével
SFR;1;1;1;plouguernével
SFR;1;1;1;locmalo
Bouygue;1;1;1;locmalo
Free;0;1;1;languidic
Orange;1;1;0;nostang
SFR;1;1;1;quiberon
Bouygue;1;1;1;quiberon
Orange;0;0;0;quiberon
Free;0;1;1;quiberon
Bouygue;1;1;0;pédernec
Orange;1;1;0;moustéru
SFR;1;1;1;plouguiel
Bouygue;1;1;1;belz
SFR;1;1;1;belz
Orange;1;1;1;locmaria
SFR;1;1;0;locmaria
Bouygue;1;1;1;bubry
Free;0;1;1;bubry
Bouygue;1;1;1;kerien
SFR;1;1;1;kerien
Orange;1;1;1;plouharnel
SFR;1;1;1;plouharnel
Bouygue;1;1;1;plouharnel
SFR;1;1;1;landévant
Bouygue;1;1;1;landévant
Orange;1;1;1;landévant
Bouygue;1;1;1;pommerit-jaudy
SFR;0;0;1;pommerit-jaudy
Free;0;1;1;pommerit-jaudy
Orange;1;1;1;tréguier
Bouygue;1;1;1;plouguiel
Free;0;1;1;plouguiel
Orange;1;1;0;carnac
Free;0;1;1;bourbriac
Orange;1;1;1;bourbriac
SFR;1;1;0;bourbriac
Bouygue;1;0;0;bourbriac
Orange;1;1;0;pommerit-jaudy
Bouygue;1;1;1;carnac
SFR;1;1;1;carnac
Free;0;1;1;landaul
Orange;1;1;1;landaul
SFR;1;1;1;saint-nicolas-du-pélem
Orange;1;1;1;saint-nicolas-du-pélem
Free;0;1;1;carnac
Free;0;1;1;saint-nicolas-du-pélem
Bouygue;1;1;1;saint-nicolas-du-pélem
Orange;1;1;0;laniscat
Bouygue;1;1;0;perret
Free;0;1;0;perret
SFR;1;1;0;perret
Orange;1;1;0;perret
Orange;1;1;0;plouisy
Bouygue;1;1;1;locoal-mendon
Free;0;1;1;locoal-mendon
SFR;1;1;1;locoal-mendon
Free;0;1;1;plouisy
Free;0;1;1;trédarzec
Bouygue;1;1;1;plouisy
SFR;1;1;0;trédarzec
Orange;1;1;0;ploemel
Orange;1;1;0;locoal-mendon
Orange;1;1;0;melrand
Bouygue;1;1;1;plouëc-du-trieux
SFR;0;0;1;plouëc-du-trieux
Bouygue;1;1;0;kerpert
SFR;1;0;0;kerpert
Free;0;1;0;kerpert
Orange;1;1;0;kerpert
Bouygue;1;1;1;ploemel
Free;0;1;1;ploemel
SFR;1;1;1;ploemel
